Date,Cobre,Zinco,Aluminio,Chumbo,Estanho,Niquel,Dolar
2012-09-07,7844.0,1915.0,1988.0,2061.5,19960.0,16155.0,2.0250000953674
2012-09-10,8032.0,1963.5,2032.0,2117.5,20275.0,16525.0,2.0253000259399
2012-09-11,8080.0,1976.5,2058.0,2101.5,20725.0,16625.0,2.0192999839783
2012-09-12,8100.5,1999.0,2074.5,2120.5,21050.0,16825.0,2.0118999481201
2012-09-13,8055.5,1984.5,2082.0,2112.5,20325.0,16680.0,2.0237998962402
2012-09-14,8400.5,2073.0,2177.0,2243.5,21415.0,17525.0,2.0181999206543
2012-09-17,8293.0,2054.0,2162.0,2243.0,21630.0,17955.0,2.009299993515
2012-09-18,8224.0,2049.5,2153.0,2235.0,21305.0,17800.0,2.0302999019623
2012-09-19,8323.0,2105.0,2124.0,2271.5,21550.0,17780.0,2.0199000835419
2012-09-20,8202.0,2068.5,2096.0,2229.0,20575.0,17600.0,2.0215001106262
2012-09-21,8282.0,2097.0,2093.5,2276.5,21300.0,18005.0,2.0181000232697
2012-09-24,,2046.0,2059.0,2241.5,20410.0,17810.0,2.0188000202179
2012-09-25,8235.5,2092.0,2069.0,2285.0,21395.0,18275.0,2.0234999656677
2012-09-26,8130.5,2068.0,2049.0,2273.0,20995.0,17930.0,2.0281999111176
2012-09-27,8175.0,2052.0,2068.0,2265.5,20950.0,18155.0,2.0332000255585
2012-09-28,8267.5,2088.0,2094.0,2300.0,21655.0,18520.0,2.0269999504089
2012-10-01,8191.5,2037.5,2068.5,2238.5,21900.0,18480.0,2.0225999355316
2012-10-02,8340.0,2097.5,2104.0,2315.0,22110.0,18840.0,2.0230000019073
2012-10-03,8276.0,2056.0,2070.0,2293.5,22100.0,18620.0,2.0250999927521
2012-10-04,8325.0,2054.0,2088.0,2308.5,22230.0,18650.0,2.0186998844147
2012-10-05,8299.0,2032.0,2087.5,2265.0,22455.0,18575.0,2.0160999298096
2012-10-08,8133.0,2001.5,2046.5,2243.0,22100.0,17930.0,1.9974000453949
2012-10-09,,,,,,,2.0287001132965
2012-10-10,8124.5,1952.0,1992.0,2215.0,21685.0,17735.0,2.030699968338
2012-10-11,8212.0,1950.5,1992.5,2208.0,22050.0,17645.0,2.039400100708
2012-10-12,8179.0,1900.5,1975.5,2169.0,21785.0,17235.0,2.0390999317169
2012-10-15,8130.0,1887.5,1950.0,2139.0,21250.0,17205.0,2.0418999195099
2012-10-16,8141.5,1876.0,1931.0,2128.0,21425.0,17030.0,2.0355000495911
2012-10-17,,,,,,,2.0334000587463
2012-10-18,8210.0,1894.0,1971.5,2167.0,21800.0,17135.0,2.0299000740051
2012-10-19,8121.0,1864.0,1976.5,2134.5,21730.0,17005.0,2.0260000228882
2012-10-22,7983.5,1847.0,1932.5,2093.5,20955.0,16730.0,2.0260000228882
2012-10-23,7861.0,1797.0,1913.5,2024.0,20480.0,16185.0,2.0230000019073
2012-10-24,7860.5,1809.0,1907.0,2020.0,20375.0,16300.0,2.0253999233246
2012-10-25,7852.0,1821.5,1909.5,2029.5,20550.0,16405.0,2.0241000652313
2012-10-26,7765.0,1793.0,1899.5,2002.0,19925.0,16100.0,2.0239999294281
2012-10-29,7720.0,1785.0,1873.5,2010.0,19845.0,15870.0,2.0251998901367
2012-10-30,7760.0,1821.5,1884.5,2064.5,20070.0,16000.0,2.0309000015259
2012-10-31,7819.0,1835.5,1882.5,2095.5,20145.0,16235.0,2.029000043869
2012-11-01,7811.0,1845.5,1908.5,2123.0,20450.0,16310.0,2.027899980545
2012-11-02,7765.5,1851.0,1937.0,2148.0,20300.0,16150.0,2.0295000076294
2012-11-05,7604.0,1814.0,1884.0,2096.5,20175.0,15850.0,2.0288000106812
2012-11-06,7661.0,1842.0,1887.0,2170.0,20750.0,15975.0,2.0341999530792
2012-11-07,7654.5,1870.5,1901.0,2203.0,20600.0,16000.0,2.0290999412537
2012-11-08,7605.5,1888.5,1897.5,2203.0,20550.0,15960.0,2.0329999923706
2012-11-09,7540.5,1860.0,1889.0,2180.0,20245.0,15890.0,2.0371999740601
2012-11-12,7626.5,1873.0,1929.5,2180.0,20475.0,15930.0,2.0445001125336
2012-11-13,7606.5,1892.5,1944.0,2163.5,20380.0,15910.0,2.049299955368
2012-11-14,7635.0,1921.5,1966.0,2188.0,20600.0,15985.0,2.0571999549866
2012-11-15,7605.5,1907.0,1932.0,2188.0,20410.0,16015.0,2.0636999607086
2012-11-16,7573.0,1895.5,1921.5,2180.0,20550.0,15880.0,2.0648000240326
2012-11-19,7670.5,1892.0,1928.0,2174.5,20575.0,16060.0,2.0806000232697
2012-11-20,7731.0,1903.0,1952.5,2187.0,20930.0,16335.0,2.0771999359131
2012-11-21,7705.0,1895.0,1928.0,2147.0,20630.0,16510.0,2.0801999568939
2012-11-22,7716.0,1898.0,1915.5,2166.0,20575.0,16685.0,2.0955998897552
2012-11-23,7676.0,1915.5,1929.0,2170.0,20595.0,16530.0,2.1033000946045
2012-11-26,7770.5,1967.5,1976.5,2201.0,20825.0,16675.0,2.0801000595093
2012-11-27,7796.0,1971.5,2003.0,2198.5,21135.0,16670.0,2.0813000202179
2012-11-28,7720.0,1957.0,1992.5,2188.0,21245.0,16900.0,2.0829999446869
2012-11-29,7850.0,2006.0,2046.0,2239.0,21610.0,17225.0,2.0919001102448
2012-11-30,7949.0,2028.0,2079.0,2254.5,21800.0,17100.0,2.0955998897552
2012-12-03,7975.5,2024.5,2096.5,2244.0,21860.0,17600.0,2.1338999271393
2012-12-04,7991.0,2011.5,2100.5,2230.0,21775.0,17315.0,2.1191000938416
2012-12-05,8022.0,2008.5,2095.0,2232.0,21870.0,17445.0,2.1182999610901
2012-12-06,8020.5,2014.0,2109.5,2224.0,21905.0,17380.0,2.0871000289917
2012-12-07,7965.5,1988.5,2078.0,2179.0,21620.0,17025.0,2.0759999752045
2012-12-10,8111.5,2045.5,2101.5,2258.0,22375.0,17330.0,2.073499917984
2012-12-11,8070.0,2056.0,2131.0,2279.0,23025.0,17605.0,2.0762000083923
2012-12-12,8102.0,2059.0,2135.0,2287.0,23155.0,17760.0,2.0755999088287
2012-12-13,8000.5,2037.5,2121.5,2279.0,22900.0,17430.0,2.0703999996185
2012-12-14,8047.5,2058.5,2132.5,2293.0,23205.0,17705.0,2.0843000411987
2012-12-17,8001.0,2049.5,2163.5,2270.0,23325.0,17555.0,2.0850999355316
2012-12-18,8005.5,2056.0,2081.0,2292.5,23450.0,17650.0,2.0950999259949
2012-12-19,7946.0,2049.0,2073.0,2311.0,23660.0,17585.0,2.0880000591278
2012-12-20,7825.5,2031.5,2032.0,2312.0,23305.0,17525.0,2.0692000389099
2012-12-21,7768.5,2032.0,2035.5,2276.0,23350.0,17385.0,2.0692999362946
2012-12-24,7780.0,2055.0,2045.5,2299.0,23200.0,17015.0,2.0562999248505
2012-12-25,,,,,,,2.0748999118805
2012-12-26,,,,,,,2.0771000385284
2012-12-27,7871.5,2062.0,2043.5,2311.0,23350.0,17230.0,2.0480000972748
2012-12-28,7870.0,2041.0,2031.0,2318.0,23210.0,17100.0,2.041699886322
2012-12-31,7915.0,2034.5,2040.0,2340.0,23500.0,17085.0,2.0450999736786
2013-01-01,,,,,,,2.0506999492645
2013-01-02,8085.0,2087.0,2093.5,2385.0,24350.0,17425.0,2.045599937439
2013-01-03,8140.5,2092.0,2108.5,2412.5,24150.0,17540.0,2.045599937439
2013-01-04,8026.0,2023.5,2056.0,2343.0,24000.0,17325.0,2.048700094223
2013-01-07,7995.5,1985.0,2005.0,2289.0,23745.0,17215.0,2.032399892807
2013-01-08,8050.5,1977.0,2027.0,2297.0,24010.0,17145.0,2.0264000892639
2013-01-09,8059.0,2003.5,2061.5,2323.5,24450.0,17440.0,2.0401000976562
2013-01-10,8117.0,2018.5,2074.5,2332.0,24875.0,17540.0,2.0476999282837
2013-01-11,8071.0,2010.5,2077.0,2323.0,24700.0,17325.0,2.0276999473572
2013-01-14,8030.0,1996.0,2062.5,2305.0,25100.0,17360.0,2.0297000408173
2013-01-15,7945.0,1955.0,2002.5,2257.5,24785.0,17190.0,2.032399892807
2013-01-16,7910.5,1942.0,1991.0,2254.5,24895.0,17285.0,
2013-01-17,7930.0,1973.5,2003.5,2270.0,25200.0,17385.0,2.0408000946045
2013-01-18,8053.0,2028.5,2021.5,2320.0,25085.0,17630.0,2.0371000766754
2013-01-21,8020.5,2018.5,2001.0,2296.0,25025.0,17380.0,2.0297999382019
2013-01-22,8068.0,2026.5,2009.0,2315.5,24975.0,17375.0,2.0387001037598
2013-01-23,8115.5,2066.5,2047.5,2372.5,24850.0,17485.0,2.0409998893738
2013-01-24,8036.0,2057.0,2027.0,2369.0,24450.0,17300.0,2.0339000225067
